vehiculo_id,hora_salida,zona_origen,zona_destino,tiempo_viaje_min
V0192,11,Centro,Poniente,35
V0397,10,Norte,Oriente,15
V0340,16,Norte,Oriente,78
V0089,18,Poniente,Sur,38
V0461,8,Centro,Poniente,9
V0449,4,Poniente,Norte,63
V0249,19,Centro,Oriente,12
V0132,14,Centro,Oriente,50
V0062,11,Poniente,Centro,32
V0282,1,Sur,Centro,25
V0408,20,Norte,Sur,17
V0439,4,Centro,Norte,10
V0294,5,Sur,Centro,42
V0311,18,Centro,Sur,41
V0222,16,Norte,Poniente,9
V0148,7,Sur,Norte,65
V0342,11,Norte,Sur,43
V0065,9,Poniente,Centro,84
V0035,17,Poniente,Sur,34
V0451,4,Sur,Poniente,81
V0326,3,Norte,Oriente,66
V0023,17,Centro,Sur,9
V0236,23,Oriente,Centro,19
V0014,0,Poniente,Norte,35
V0058,22,Centro,Poniente,63
V0107,21,Oriente,Centro,84
V0440,4,Poniente,Sur,42
V0159,23,Oriente,Sur,18
V0208,5,Norte,Poniente,81
V0154,20,Poniente,Centro,87
V0333,1,Centro,Norte,45
V0410,11,Oriente,Centro,33
V0256,17,Oriente,Sur,5
V0418,4,Norte,Centro,20
V0219,4,Norte,Poniente,43
V0275,9,Norte,Sur,47
V0122,23,Sur,Norte,19
V0268,5,Poniente,Norte,43
V0001,0,Norte,Sur,14
V0353,2,Centro,Poniente,78
V0089,17,Poniente,Sur,63
V0315,23,Centro,Poniente,9
V0320,19,Sur,Oriente,86
V0452,14,Sur,Oriente,56
V0167,10,Centro,Poniente,36
V0392,6,Oriente,Centro,35
V0028,1,Centro,Oriente,50
V0028,21,Oriente,Sur,37
V0303,17,Centro,Norte,44
V0411,1,Norte,Centro,76
V0216,17,Poniente,Oriente,47
V0368,23,Norte,Sur,37
V0322,16,Oriente,Poniente,89
V0109,21,Oriente,Norte,52
V0496,12,Poniente,Centro,22
V0487,17,Norte,Sur,15
V0437,0,Oriente,Norte,83
V0165,20,Poniente,Norte,13
V0126,21,Norte,Centro,71
V0163,6,Oriente,Sur,74
V0370,0,Norte,Sur,68
V0297,15,Centro,Oriente,29
V0074,20,Oriente,Sur,32
V0168,5,Centro,Poniente,58
V0347,8,Poniente,Oriente,42
V0224,4,Centro,Poniente,52
V0040,0,Norte,Centro,72
V0160,0,Sur,Poniente,21
V0419,2,Poniente,Sur,79
V0274,19,Oriente,Norte,30
V0434,23,Norte,Centro,19
V0477,16,Norte,Poniente,81
V0462,3,Poniente,Centro,66
V0183,21,Centro,Sur,50
V0018,6,Oriente,Norte,26
V0320,17,Centro,Norte,77
V0062,23,Centro,Sur,72
V0438,20,Poniente,Sur,82
V0273,0,Oriente,Centro,87
V0213,13,Oriente,Poniente,34
V0193,9,Poniente,Norte,88
V0379,12,Sur,Centro,90
V0496,23,Centro,Sur,43
V0500,18,Sur,Oriente,84
V0120,22,Oriente,Sur,29
V0018,14,Norte,Sur,90
V0424,19,Sur,Poniente,61
V0370,6,Oriente,Centro,13
V0414,19,Norte,Sur,19
V0077,12,Sur,Oriente,6
V0427,22,Oriente,Poniente,66
V0139,6,Norte,Poniente,11
V0387,20,Poniente,Sur,45
V0197,8,Poniente,Sur,69
V0431,16,Oriente,Norte,19
V0226,21,Sur,Centro,44
V0385,14,Sur,Oriente,44
V0002,7,Centro,Sur,41
V0395,20,Norte,Sur,19
V0215,17,Norte,Oriente,66
V0342,18,Poniente,Centro,86
V0256,16,Poniente,Norte,37
V0339,23,Sur,Centro,66
V0388,20,Centro,Poniente,60
V0293,6,Oriente,Poniente,62
V0357,15,Sur,Oriente,76
V0212,13,Oriente,Centro,68
V0133,23,Norte,Poniente,82
V0471,11,Oriente,Centro,19
V0299,9,Norte,Oriente,76
V0454,15,Poniente,Oriente,34
V0317,13,Sur,Poniente,14
V0360,1,Oriente,Centro,35
V0431,5,Centro,Poniente,29
V0105,5,Norte,Oriente,58
V0325,12,Norte,Poniente,87
V0051,1,Oriente,Centro,49
V0396,14,Sur,Norte,51
V0404,1,Norte,Sur,10
V0075,10,Norte,Sur,11
V0110,16,Oriente,Centro,34
V0060,2,Norte,Sur,27
V0042,0,Poniente,Norte,49
V0207,9,Norte,Poniente,5
V0292,10,Centro,Poniente,41
V0216,22,Sur,Norte,36
V0343,16,Centro,Oriente,74
V0498,17,Centro,Poniente,27
V0324,18,Norte,Poniente,41
V0001,11,Norte,Sur,10
V0093,12,Sur,Centro,39
V0370,10,Norte,Poniente,46
V0134,2,Centro,Sur,59
V0338,8,Centro,Sur,78
V0005,2,Centro,Sur,33
V0033,16,Norte,Sur,25
V0253,4,Poniente,Norte,10
V0019,6,Centro,Poniente,74
V0405,15,Poniente,Sur,67
V0145,1,Poniente,Centro,86
V0021,0,Poniente,Norte,46
V0294,10,Oriente,Poniente,48
V0179,11,Sur,Poniente,41
V0436,22,Poniente,Oriente,77
V0084,4,Oriente,Sur,31
V0248,16,Sur,Oriente,16
V0417,4,Sur,Norte,58
V0356,21,Poniente,Oriente,76
V0321,12,Poniente,Norte,17
V0305,14,Oriente,Centro,76
V0331,17,Norte,Centro,41
V0069,21,Oriente,Sur,13
V0074,5,Sur,Norte,38
V0340,10,Oriente,Centro,83
V0452,10,Centro,Poniente,17
V0494,18,Sur,Centro,78
V0259,9,Norte,Poniente,64
V0129,23,Oriente,Sur,15
V0020,21,Norte,Oriente,33
V0121,19,Centro,Norte,39
V0325,1,Centro,Sur,33
V0153,16,Poniente,Oriente,45
V0058,21,Sur,Poniente,77
V0346,19,Sur,Poniente,74
V0416,10,Oriente,Poniente,15
V0500,17,Poniente,Centro,84
V0315,19,Centro,Oriente,31
V0423,8,Norte,Centro,74
V0283,12,Oriente,Centro,81
V0133,18,Poniente,Sur,11
V0369,21,Poniente,Oriente,82
V0319,4,Sur,Norte,63
V0163,16,Centro,Poniente,27
V0279,15,Oriente,Norte,15
V0187,19,Oriente,Centro,28
V0224,17,Centro,Sur,42
V0176,18,Sur,Centro,42
V0272,13,Sur,Norte,40
V0341,3,Centro,Poniente,5
V0070,23,Poniente,Oriente,16
V0212,15,Poniente,Centro,89
V0257,20,Poniente,Oriente,33
V0305,3,Poniente,Sur,88
V0479,5,Centro,Poniente,75
V0050,12,Poniente,Norte,9
V0185,9,Norte,Centro,52
V0282,7,Centro,Poniente,39
V0345,23,Norte,Poniente,82
V0212,8,Sur,Norte,71
V0040,13,Sur,Centro,72
V0452,18,Oriente,Centro,27
V0317,5,Norte,Poniente,40
V0428,15,Centro,Oriente,28
V0001,10,Norte,Centro,84
V0469,20,Centro,Sur,25
V0131,17,Oriente,Poniente,31
V0411,6,Sur,Oriente,64
V0349,18,Sur,Norte,26
V0088,4,Oriente,Sur,59
V0295,18,Oriente,Centro,41
V0409,11,Poniente,Centro,16
V0031,14,Oriente,Poniente,50
V0111,7,Norte,Sur,16
V0196,1,Centro,Norte,65
V0470,18,Norte,Sur,24
V0117,12,Centro,Oriente,77
V0229,5,Centro,Oriente,79
V0056,22,Oriente,Poniente,23
V0345,20,Poniente,Norte,9
V0413,17,Poniente,Norte,89
V0062,19,Poniente,Norte,33
V0445,16,Poniente,Oriente,36
V0181,7,Sur,Poniente,37
V0032,16,Centro,Poniente,20
V0374,21,Sur,Oriente,9
V0397,17,Norte,Oriente,62
V0488,8,Centro,Poniente,11
V0145,16,Norte,Sur,60
V0222,11,Poniente,Norte,9
V0405,5,Oriente,Norte,77
V0118,12,Oriente,Centro,28
V0056,10,Oriente,Poniente,54
V0291,18,Centro,Poniente,86
V0211,15,Centro,Oriente,54
V0144,10,Oriente,Sur,15
V0126,6,Norte,Oriente,48
V0209,1,Norte,Poniente,55
V0293,22,Oriente,Poniente,46
V0192,3,Sur,Poniente,69
V0099,3,Oriente,Poniente,62
V0423,3,Norte,Centro,6
V0121,14,Poniente,Centro,80
V0355,10,Norte,Centro,61
V0397,8,Norte,Centro,77
V0111,16,Oriente,Sur,80
V0215,20,Norte,Oriente,41
V0433,22,Norte,Poniente,24
V0279,2,Poniente,Sur,65
V0251,3,Norte,Poniente,31
V0243,17,Oriente,Centro,69
V0219,9,Oriente,Poniente,75
V0045,18,Oriente,Norte,57
V0233,9,Sur,Oriente,20
V0124,3,Oriente,Poniente,49
V0386,20,Oriente,Centro,62
V0351,8,Centro,Oriente,73
V0320,22,Oriente,Centro,16
V0049,11,Poniente,Centro,88
V0181,3,Norte,Sur,26
V0131,21,Sur,Poniente,5
V0089,14,Centro,Sur,72
V0204,3,Oriente,Sur,29
V0046,21,Oriente,Centro,65
V0067,7,Sur,Norte,82
V0191,1,Centro,Oriente,88
V0212,12,Sur,Oriente,23
V0033,8,Poniente,Norte,10
V0386,6,Norte,Poniente,75
V0454,19,Oriente,Poniente,42
V0019,1,Centro,Sur,78
V0014,18,Oriente,Poniente,86
V0133,4,Poniente,Centro,9
V0079,21,Centro,Poniente,67
V0487,18,Norte,Poniente,22
V0283,17,Sur,Norte,11
V0427,3,Oriente,Centro,13
V0244,2,Centro,Oriente,32
V0033,19,Oriente,Norte,27
V0435,10,Oriente,Poniente,70
V0161,18,Poniente,Sur,61
V0264,17,Oriente,Poniente,81
V0037,9,Sur,Oriente,14
V0343,4,Sur,Poniente,53
V0015,0,Centro,Sur,67
V0042,8,Oriente,Centro,74
V0083,6,Norte,Oriente,78
V0385,9,Sur,Oriente,44
V0043,23,Sur,Centro,58
V0433,6,Oriente,Centro,73
V0111,10,Poniente,Centro,84
V0455,11,Norte,Poniente,53
V0467,22,Poniente,Centro,51
V0302,6,Poniente,Centro,61
V0434,14,Centro,Sur,26
V0460,19,Oriente,Sur,50
V0032,5,Norte,Centro,37
V0071,2,Poniente,Norte,34
V0122,2,Norte,Oriente,9
V0465,3,Poniente,Norte,37
V0130,10,Poniente,Norte,75
V0074,6,Centro,Norte,55
V0119,23,Sur,Oriente,39
V0374,3,Poniente,Sur,88
V0359,1,Oriente,Poniente,38
V0060,2,Sur,Centro,25
V0110,7,Poniente,Norte,40
V0439,1,Poniente,Norte,72
V0062,9,Poniente,Sur,20
V0078,18,Centro,Poniente,43
V0088,13,Poniente,Centro,53
V0499,7,Poniente,Norte,65
V0260,22,Sur,Norte,66
V0099,8,Norte,Poniente,81
V0201,3,Centro,Oriente,78
V0220,16,Centro,Norte,74
V0293,19,Poniente,Norte,55
V0363,15,Poniente,Norte,37
V0439,0,Norte,Centro,32
V0270,1,Poniente,Oriente,20
V0468,10,Sur,Centro,74
V0143,16,Centro,Oriente,11
V0297,7,Oriente,Poniente,90
V0098,5,Oriente,Poniente,31
V0339,8,Oriente,Sur,88
V0003,22,Sur,Norte,33
V0418,10,Sur,Norte,71
V0195,17,Poniente,Norte,64
V0152,23,Poniente,Centro,43
V0073,12,Oriente,Norte,85
V0286,11,Norte,Oriente,38
V0046,0,Norte,Poniente,30
V0323,0,Centro,Sur,45
V0372,8,Norte,Oriente,64
V0421,18,Centro,Oriente,87
V0387,12,Oriente,Poniente,82
V0470,20,Oriente,Sur,13
V0266,1,Norte,Centro,27
V0066,4,Norte,Poniente,26
V0025,7,Centro,Sur,48
V0204,16,Norte,Centro,42
V0459,6,Oriente,Norte,31
V0085,6,Sur,Centro,36
V0455,3,Oriente,Poniente,85
V0385,17,Sur,Centro,23
V0435,19,Oriente,Centro,5
V0374,2,Oriente,Poniente,89
V0424,22,Norte,Poniente,19
V0478,3,Centro,Poniente,9
V0017,7,Oriente,Centro,68
V0158,1,Sur,Norte,9
V0475,12,Oriente,Sur,48
V0109,10,Norte,Poniente,70
V0085,18,Norte,Centro,19
V0451,23,Norte,Sur,65
V0201,3,Poniente,Oriente,54
V0310,20,Norte,Oriente,12
V0015,15,Centro,Poniente,19
V0491,16,Centro,Sur,53
V0231,15,Sur,Norte,72
V0161,22,Sur,Centro,70
V0136,13,Oriente,Poniente,16
V0431,0,Centro,Norte,89
V0196,15,Sur,Norte,39
V0383,9,Poniente,Centro,29
V0277,17,Sur,Norte,31
V0464,23,Sur,Poniente,43
V0003,9,Poniente,Oriente,45
V0458,14,Centro,Norte,39
V0146,12,Poniente,Sur,82
V0044,3,Oriente,Centro,54
V0355,7,Centro,Oriente,62
V0357,19,Centro,Poniente,45
V0113,17,Norte,Poniente,24
V0287,23,Poniente,Centro,66
V0016,16,Oriente,Centro,56
V0169,14,Sur,Centro,41
V0028,11,Norte,Poniente,58
V0370,4,Norte,Centro,26
V0020,14,Sur,Oriente,35
V0090,13,Oriente,Poniente,82
V0383,0,Poniente,Centro,62
V0481,10,Sur,Centro,49
V0210,17,Oriente,Sur,54
V0156,21,Centro,Sur,8
V0113,1,Poniente,Oriente,50
V0427,12,Oriente,Sur,86
V0442,5,Sur,Oriente,48
V0159,15,Norte,Poniente,88
V0063,7,Oriente,Norte,11
V0272,8,Sur,Poniente,77
V0352,22,Poniente,Sur,53
V0359,9,Poniente,Sur,62
V0048,10,Norte,Centro,69
V0068,16,Sur,Centro,76
V0223,9,Norte,Centro,20
V0495,19,Poniente,Sur,71
V0030,23,Centro,Oriente,51
V0239,15,Oriente,Centro,82
V0053,21,Norte,Poniente,38
V0023,9,Sur,Norte,83
V0272,20,Oriente,Poniente,5
V0237,10,Poniente,Centro,23
V0023,18,Poniente,Norte,18
V0047,7,Oriente,Norte,31
V0496,11,Norte,Oriente,43
V0274,5,Sur,Oriente,33
V0001,19,Centro,Poniente,37
V0324,11,Poniente,Norte,57
V0232,21,Oriente,Centro,25
V0442,13,Centro,Norte,80
V0268,21,Norte,Centro,76
V0461,10,Centro,Poniente,37
V0025,1,Sur,Norte,71
V0473,17,Centro,Oriente,68
V0450,11,Poniente,Oriente,7
V0391,21,Oriente,Poniente,52
V0067,17,Sur,Oriente,77
V0486,2,Norte,Sur,43
V0014,16,Poniente,Norte,32
V0343,11,Oriente,Poniente,55
V0266,20,Oriente,Centro,90
V0365,1,Norte,Poniente,49
V0111,10,Sur,Poniente,15
V0259,15,Oriente,Centro,11
V0324,0,Norte,Sur,42
V0468,1,Norte,Poniente,88
V0071,8,Centro,Poniente,43
V0269,21,Oriente,Poniente,43
V0227,5,Norte,Centro,43
V0494,17,Norte,Oriente,9
V0197,15,Sur,Oriente,75
V0047,7,Centro,Norte,9
V0101,15,Centro,Sur,6
V0226,9,Norte,Oriente,50
V0342,6,Centro,Sur,57
V0424,10,Sur,Norte,5
V0048,13,Poniente,Oriente,51
V0014,8,Centro,Norte,53
V0096,13,Centro,Oriente,40
V0353,17,Norte,Oriente,28
V0317,15,Norte,Oriente,90
V0094,12,Poniente,Oriente,83
V0332,1,Norte,Poniente,69
V0123,13,Poniente,Sur,60
V0439,5,Sur,Oriente,83
V0365,3,Oriente,Poniente,48
V0222,16,Centro,Poniente,64
V0163,11,Poniente,Sur,79
V0073,3,Centro,Norte,6
V0081,19,Poniente,Centro,88
V0042,21,Oriente,Norte,10
V0082,18,Sur,Centro,64
V0040,3,Poniente,Centro,28
V0125,18,Norte,Sur,18
V0150,16,Norte,Poniente,77
V0091,23,Poniente,Sur,8
V0193,17,Oriente,Centro,77
V0085,18,Oriente,Poniente,42
V0100,3,Oriente,Centro,72
V0415,3,Centro,Poniente,12
V0139,14,Norte,Centro,82
V0324,16,Sur,Oriente,72
V0114,11,Oriente,Norte,44
V0049,16,Oriente,Poniente,58
V0104,19,Norte,Poniente,81
V0435,15,Centro,Poniente,66
V0261,2,Sur,Oriente,58
V0106,13,Norte,Centro,67
V0340,4,Oriente,Poniente,11
V0135,23,Poniente,Oriente,88
V0079,8,Centro,Poniente,59
V0149,21,Norte,Centro,46
V0500,14,Centro,Poniente,81
V0259,23,Centro,Sur,22
V0334,11,Poniente,Oriente,18
V0055,9,Oriente,Norte,67
V0451,18,Oriente,Poniente,25
V0085,17,Oriente,Centro,44
V0192,11,Oriente,Sur,76
V0397,20,Centro,Sur,73
V0433,5,Sur,Norte,77
V0218,21,Sur,Norte,31
V0303,23,Sur,Centro,14
V0036,2,Oriente,Centro,74
V0239,4,Norte,Sur,8
V0112,0,Sur,Poniente,39
V0125,13,Poniente,Oriente,54
V0046,6,Oriente,Sur,45
V0260,16,Norte,Oriente,20
V0240,22,Poniente,Sur,57
V0301,9,Poniente,Oriente,18
V0171,6,Norte,Oriente,49
V0054,11,Poniente,Oriente,20
V0444,12,Sur,Poniente,88
V0308,7,Poniente,Oriente,46
V0335,20,Poniente,Norte,61
V0171,11,Oriente,Sur,50
V0236,13,Centro,Poniente,6
V0076,18,Poniente,Norte,56
V0040,13,Centro,Sur,36
V0186,22,Centro,Norte,30
V0272,11,Centro,Norte,69
V0438,4,Centro,Norte,33
V0403,9,Oriente,Centro,64
V0469,6,Poniente,Norte,81
V0368,21,Oriente,Norte,19
V0104,1,Centro,Oriente,44
V0217,7,Norte,Centro,64
V0004,18,Oriente,Sur,57
V0304,8,Poniente,Centro,56
V0367,22,Sur,Norte,78
V0389,14,Poniente,Oriente,66
V0260,18,Oriente,Poniente,7
V0211,20,Norte,Centro,47
V0441,21,Norte,Poniente,21
V0122,10,Poniente,Norte,89
V0368,15,Norte,Sur,79
V0427,18,Oriente,Centro,86
V0039,13,Centro,Sur,20
V0490,6,Poniente,Centro,41
V0163,6,Poniente,Oriente,17
V0061,19,Norte,Poniente,68
V0193,20,Norte,Sur,74
V0286,2,Oriente,Centro,9
V0334,11,Poniente,Sur,34
V0063,14,Sur,Poniente,17
V0293,2,Sur,Poniente,77
V0463,22,Oriente,Centro,43
V0127,22,Norte,Oriente,33
V0232,7,Centro,Poniente,41
V0094,15,Centro,Sur,60
V0477,21,Norte,Sur,12
V0050,14,Sur,Oriente,46
V0273,15,Centro,Poniente,7
V0274,12,Poniente,Sur,82
V0230,21,Poniente,Oriente,68
V0408,1,Oriente,Poniente,32
V0363,16,Norte,Sur,90
V0358,14,Centro,Oriente,20
V0431,16,Poniente,Norte,6
V0469,5,Sur,Oriente,19
V0299,3,Centro,Norte,74
V0495,5,Norte,Oriente,47
V0032,10,Centro,Poniente,34
V0448,18,Sur,Poniente,10
V0025,7,Poniente,Sur,26
V0343,11,Poniente,Norte,84
V0012,22,Centro,Poniente,88
V0439,18,Sur,Norte,21
V0288,19,Centro,Norte,6
V0402,6,Norte,Centro,15
V0249,13,Poniente,Norte,35
V0424,7,Sur,Poniente,21
V0088,11,Norte,Sur,21
V0106,17,Sur,Norte,79
V0375,17,Poniente,Norte,13
V0221,1,Sur,Norte,11
V0238,0,Sur,Centro,6
V0060,11,Norte,Sur,53
V0450,7,Centro,Norte,78
V0298,20,Norte,Centro,22
V0064,13,Norte,Centro,28
V0253,15,Centro,Norte,51
V0066,2,Sur,Norte,13
V0113,17,Poniente,Norte,76
V0352,1,Oriente,Norte,14
V0421,3,Oriente,Poniente,30
V0199,5,Poniente,Oriente,34
V0262,16,Oriente,Centro,48
V0458,16,Oriente,Centro,24
V0460,4,Sur,Norte,32
V0346,1,Centro,Sur,25
V0013,9,Sur,Norte,32
V0321,13,Centro,Poniente,75
V0431,19,Norte,Poniente,26
V0189,16,Poniente,Oriente,42
V0492,6,Centro,Oriente,90
V0073,9,Oriente,Poniente,27
V0411,15,Sur,Norte,11
V0455,14,Norte,Sur,45
V0031,14,Oriente,Poniente,73
V0444,2,Sur,Poniente,15
V0244,11,Poniente,Norte,61
V0456,23,Centro,Sur,66
V0333,3,Poniente,Centro,65
V0082,21,Norte,Sur,13
V0185,3,Norte,Oriente,38
V0094,4,Sur,Oriente,45
V0117,5,Norte,Oriente,65
V0228,2,Sur,Norte,12
V0220,8,Norte,Oriente,47
V0065,12,Sur,Poniente,17
V0428,22,Oriente,Sur,33
V0213,21,Sur,Oriente,50
V0478,15,Centro,Oriente,79
V0270,15,Norte,Sur,9
V0034,19,Poniente,Sur,17
V0177,22,Oriente,Centro,6
V0082,3,Norte,Sur,13
V0404,4,Norte,Poniente,72
V0382,17,Oriente,Poniente,61
V0162,13,Centro,Norte,38
V0123,15,Oriente,Centro,28
V0233,0,Norte,Oriente,17
V0396,9,Norte,Poniente,7
V0037,7,Oriente,Norte,60
V0200,5,Sur,Poniente,63
V0050,13,Centro,Norte,77
V0181,8,Centro,Poniente,26
V0037,1,Sur,Poniente,28
V0375,22,Oriente,Norte,46
V0014,21,Oriente,Poniente,83
V0487,7,Norte,Poniente,24
V0374,14,Poniente,Sur,6
V0332,0,Centro,Norte,80
V0008,5,Sur,Norte,32
V0321,14,Sur,Centro,32
V0288,18,Sur,Oriente,62
V0298,22,Norte,Oriente,54
V0308,4,Poniente,Norte,73
V0297,19,Oriente,Sur,50
V0474,0,Norte,Poniente,75
V0456,6,Sur,Norte,46
V0277,20,Poniente,Sur,32
V0204,6,Centro,Poniente,45
V0189,0,Norte,Oriente,88
V0445,8,Centro,Sur,42
V0323,7,Sur,Centro,39
V0405,19,Oriente,Poniente,79
V0447,7,Norte,Sur,35
V0462,3,Poniente,Norte,78
V0315,9,Poniente,Norte,35
V0068,8,Norte,Oriente,22
V0297,6,Sur,Oriente,12
V0202,21,Poniente,Oriente,80
V0412,0,Norte,Oriente,82
V0438,17,Poniente,Sur,49
V0144,10,Norte,Sur,83
V0372,0,Oriente,Centro,58
V0298,17,Norte,Oriente,74
V0461,23,Sur,Norte,68
V0160,0,Sur,Norte,11
V0465,6,Poniente,Oriente,46
V0123,2,Oriente,Poniente,25
V0077,21,Sur,Centro,11
V0198,14,Sur,Oriente,19
V0160,14,Norte,Oriente,61
V0187,8,Norte,Poniente,48
V0188,19,Norte,Centro,68
V0217,18,Sur,Oriente,36
V0202,13,Norte,Oriente,67
V0045,19,Poniente,Oriente,15
V0169,15,Norte,Oriente,60
V0074,14,Poniente,Oriente,50
V0111,7,Oriente,Sur,17
V0202,4,Centro,Oriente,71
V0210,10,Norte,Centro,23
V0154,10,Norte,Sur,12
V0272,14,Centro,Sur,71
V0289,9,Poniente,Norte,53
V0191,5,Sur,Centro,17
V0304,2,Norte,Poniente,84
V0174,13,Centro,Poniente,65
V0259,14,Sur,Centro,74
V0362,4,Poniente,Sur,59
V0034,16,Sur,Poniente,18
V0028,2,Poniente,Norte,20
V0193,12,Norte,Sur,63
V0073,23,Oriente,Centro,58
V0072,19,Norte,Centro,39
V0265,3,Sur,Poniente,71
V0120,10,Oriente,Sur,67
V0431,4,Sur,Norte,14
V0165,9,Oriente,Norte,70
V0334,19,Centro,Oriente,29
V0246,13,Sur,Poniente,45
V0104,16,Oriente,Poniente,34
V0298,3,Centro,Norte,24
V0022,10,Poniente,Norte,10
V0224,6,Oriente,Norte,27
V0267,7,Oriente,Sur,19
V0071,4,Sur,Norte,76
V0055,10,Oriente,Centro,48
V0317,3,Centro,Poniente,82
V0261,7,Sur,Poniente,66
V0167,22,Sur,Centro,30
V0439,10,Poniente,Oriente,70
V0393,21,Poniente,Oriente,77
V0127,17,Norte,Centro,45
V0071,14,Poniente,Sur,48
V0112,4,Norte,Oriente,71
V0281,5,Poniente,Sur,77
V0013,4,Poniente,Norte,43
V0004,12,Oriente,Poniente,89
V0329,9,Poniente,Oriente,58
V0316,15,Sur,Oriente,76
V0160,0,Norte,Centro,87
V0390,11,Norte,Oriente,10
